rank,player,team,position,pos_rank,tier,bye,ecr_vs_adp
464,Ronnie Bell,NO,WR,157,15,8.0,
465,Adam Trautman,DEN,TE,69,15,10.0,
466,Luke Schoonmaker,DAL,TE,70,15,14.0,
467,Myles Montgomery,NE,RB,131,15,11.0,
468,Cam Akers,FA,RB,132,16,,
469,Charlie Kolar,LAC,TE,71,16,7.0,-123.0
470,Brock Wright,DET,TE,72,16,6.0,
471,Jack Endries,CIN,TE,73,16,6.0,
472,Quinn Ewers,MIA,QB,50,16,6.0,-132.0
473,Roman Wilson,PIT,WR,158,16,9.0,
474,Roman Hemby,LV,RB,133,16,13.0,
475,Tyler Badie,DEN,RB,134,16,10.0,
476,Jackson Hawes,BUF,TE,74,16,7.0,
477,Jaydn Ott,KC,RB,135,16,5.0,
478,Michael Trigg,DAL,TE,75,16,14.0,
479,Thomas Fidone II,NYG,TE,76,16,8.0,
480,Jason Sanders,NYJ,K,31,16,13.0,
481,New York Jets,NYJ,DST,31,16,13.0,-95.0
482,Elijah Mitchell,PHI,RB,136,16,10.0,
